ID,类别,分组,日期,日期精度,来源,乐仔置信,人脸数,场景,库内路径,原始路径
KU2385,家庭生活,2023,2023-12-17,day,个人相册,0.6263,1,衣物、jeans、人物,02_家庭生活/2023/2023-12-17_dreamina_7605170277357489417_1770716747703.jpg,dreamina_7605170277357489417_1770716747703.jpg
KU2022,家庭生活,2024,2024-05-03,day,个人相册,0.6799,2,户外、陆地、草地,02_家庭生活/2024/2024-05-03_5606B56D_IMG_8674.jpg,_heic_jpg/5606B56D_IMG_8674.jpg
KU2483,家庭生活,2024,2024-05-03,day,个人相册,0.5999,2,户外、陆地、草地,02_家庭生活/2024/2024-05-03_92C3D6FC_IMG_8676.jpg,_heic_jpg/92C3D6FC_IMG_8676.jpg
KU1494,家庭生活,2024,2024-05-04,day,个人相册,0.7249,1,人物、孩子、建筑,02_家庭生活/2024/2024-05-04_107F8A50_IMG_8679.jpg,_heic_jpg/107F8A50_IMG_8679.jpg
KU1455,家庭生活,2024,2024-05-04,day,个人相册,0.7283,1,人物、孩子、建筑,02_家庭生活/2024/2024-05-04_59073A6B_IMG_8678.jpg,_heic_jpg/59073A6B_IMG_8678.jpg
KU2142,家庭生活,2024,2024-05-05,day,个人相册,0.6674,1,植物、树叶、户外,02_家庭生活/2024/2024-05-05_07E42C6D_IMG_8726.jpg,_heic_jpg/07E42C6D_IMG_8726.jpg
KU2125,家庭生活,2024,2024-05-05,day,个人相册,0.6695,1,户外、陆地、草地,02_家庭生活/2024/2024-05-05_1492E101_IMG_8695.jpg,_heic_jpg/1492E101_IMG_8695.jpg
KU1390,家庭生活,2024,2024-05-05,day,个人相册,0.7329,1,人物、孩子、植物,02_家庭生活/2024/2024-05-05_1FFA9179_IMG_8728.jpg,_heic_jpg/1FFA9179_IMG_8728.jpg
KU1567,家庭生活,2024,2024-05-05,day,个人相册,0.7193,2,户外、陆地、草地,02_家庭生活/2024/2024-05-05_2D7881F2_IMG_8730.jpg,_heic_jpg/2D7881F2_IMG_8730.jpg
KU0830,家庭生活,2024,2024-05-05,day,个人相册,0.7721,1,户外、陆地、草地,02_家庭生活/2024/2024-05-05_3A6E3A60_IMG_8719.jpg,_heic_jpg/3A6E3A60_IMG_8719.jpg
KU1550,家庭生活,2024,2024-05-05,day,个人相册,0.7205,1,植物、树叶、人物,02_家庭生活/2024/2024-05-05_5C45436B_IMG_8723.jpg,_heic_jpg/5C45436B_IMG_8723.jpg
KU0882,家庭生活,2024,2024-05-05,day,个人相册,0.7679,1,户外、陆地、草地,02_家庭生活/2024/2024-05-05_6A0486B9_IMG_8718.jpg,_heic_jpg/6A0486B9_IMG_8718.jpg
KU1609,家庭生活,2024,2024-05-05,day,个人相册,0.7158,1,人物、孩子、植物,02_家庭生活/2024/2024-05-05_730407FC_IMG_8727.jpg,_heic_jpg/730407FC_IMG_8727.jpg
KU2180,家庭生活,2024,2024-05-05,day,个人相册,0.6618,1,陆地、户外、草地,02_家庭生活/2024/2024-05-05_764D8F48_IMG_8716.jpg,_heic_jpg/764D8F48_IMG_8716.jpg
KU1518,家庭生活,2024,2024-05-05,day,个人相册,0.7226,1,陆地、户外、草地,02_家庭生活/2024/2024-05-05_92674065_IMG_8720.jpg,_heic_jpg/92674065_IMG_8720.jpg
KU2349,家庭生活,2024,2024-05-05,day,个人相册,0.6331,1,户外、陆地、草地,02_家庭生活/2024/2024-05-05_9B1AA99A_IMG_8704.jpg,_heic_jpg/9B1AA99A_IMG_8704.jpg
KU1281,家庭生活,2024,2024-05-05,day,个人相册,0.7402,1,户外、陆地、草地,02_家庭生活/2024/2024-05-05_A5F27057_IMG_8721.jpg,_heic_jpg/A5F27057_IMG_8721.jpg
KU2341,家庭生活,2024,2024-05-05,day,个人相册,0.6338,1,户外、陆地、草地,02_家庭生活/2024/2024-05-05_C1129522_IMG_8706.jpg,_heic_jpg/C1129522_IMG_8706.jpg
KU2437,家庭生活,2024,2024-05-05,day,个人相册,0.6133,4,户外、人物、大人,02_家庭生活/2024/2024-05-05_C1571559_IMG_8694.jpg,_heic_jpg/C1571559_IMG_8694.jpg
KU1526,家庭生活,2024,2024-05-05,day,个人相册,0.7223,1,植物、树叶、人物,02_家庭生活/2024/2024-05-05_CD05293E_IMG_8724.jpg,_heic_jpg/CD05293E_IMG_8724.jpg
KU1507,家庭生活,2024,2024-05-05,day,个人相册,0.7238,1,人物、大人、toilet_seat,02_家庭生活/2024/2024-05-05_DA3502D7_IMG_8731.jpg,_heic_jpg/DA3502D7_IMG_8731.jpg
KU2496,家庭生活,2024,2024-05-05,day,个人相册,0.5956,2,户外、天空、陆地,02_家庭生活/2024/2024-05-05_F040CF53_IMG_8702.jpg,_heic_jpg/F040CF53_IMG_8702.jpg
KU2296,家庭生活,2024,2024-05-05,day,个人相册,0.6415,1,植物、树叶、户外,02_家庭生活/2024/2024-05-05_F24FF652_IMG_8725.jpg,_heic_jpg/F24FF652_IMG_8725.jpg
KU1546,家庭生活,2024,2024-05-05,day,个人相册,0.7209,1,人物、孩子、植物,02_家庭生活/2024/2024-05-05_F8129E81_IMG_8722.jpg,_heic_jpg/F8129E81_IMG_8722.jpg
KU1480,家庭生活,2024,2024-06-08,day,个人相册,0.7264,2,建筑、木制品、人物,02_家庭生活/2024/2024-06-08_219CA941_IMG_9424.jpg,219CA941_IMG_9424.jpg
KU1845,家庭生活,2024,2024-06-08,day,个人相册,0.695,2,室内空间、interior_shop、人物,02_家庭生活/2024/2024-06-08_89633435_IMG_9430.jpg,89633435_IMG_9430.jpg
KU1787,家庭生活,2024,2024-06-08,day,个人相册,0.7,1,建筑、木制品、人物,02_家庭生活/2024/2024-06-08_BBF974FC_IMG_9423.jpg,_heic_jpg/BBF974FC_IMG_9423.jpg
KU2077,家庭生活,2024,2024-06-09,day,个人相册,0.6751,2,人物、孩子、大人,02_家庭生活/2024/2024-06-09_042BCD5F_IMG_9450.jpg,_heic_jpg/042BCD5F_IMG_9450.jpg
KU1606,家庭生活,2024,2024-06-09,day,个人相册,0.7158,1,人物、孩子、材质,02_家庭生活/2024/2024-06-09_089D683F_IMG_9445.jpg,089D683F_IMG_9445.jpg
KU1811,家庭生活,2024,2024-06-09,day,个人相册,0.6981,1,人物、孩子、建筑,02_家庭生活/2024/2024-06-09_0EB104B8_IMG_9435.jpg,_heic_jpg/0EB104B8_IMG_9435.jpg
KU1613,家庭生活,2024,2024-06-09,day,个人相册,0.7154,2,人物、孩子、建筑,02_家庭生活/2024/2024-06-09_28450C0D_IMG_9459.jpg,28450C0D_IMG_9459.jpg
KU1826,家庭生活,2024,2024-06-09,day,个人相册,0.6972,1,人物、孩子、建筑,02_家庭生活/2024/2024-06-09_4EBA26C6_IMG_9439.jpg,_heic_jpg/4EBA26C6_IMG_9439.jpg
KU1833,家庭生活,2024,2024-06-09,day,个人相册,0.6966,1,人物、孩子、食物,02_家庭生活/2024/2024-06-09_57428D23_IMG_9441.jpg,57428D23_IMG_9441.jpg
KU2329,家庭生活,2024,2024-06-09,day,个人相册,0.6355,2,人物、孩子、大人,02_家庭生活/2024/2024-06-09_688312D2_IMG_9458.jpg,_heic_jpg/688312D2_IMG_9458.jpg
KU1645,家庭生活,2024,2024-06-09,day,个人相册,0.7121,1,人物、孩子、材质,02_家庭生活/2024/2024-06-09_6EF554FA_IMG_9447.jpg,6EF554FA_IMG_9447.jpg
KU1682,家庭生活,2024,2024-06-09,day,个人相册,0.7091,1,人物、孩子、建筑,02_家庭生活/2024/2024-06-09_80260EF5_IMG_9440.jpg,_heic_jpg/80260EF5_IMG_9440.jpg
KU1765,家庭生活,2024,2024-06-09,day,个人相册,0.7021,1,人物、孩子、大人,02_家庭生活/2024/2024-06-09_865685F9_IMG_9448.jpg,_heic_jpg/865685F9_IMG_9448.jpg
KU1731,家庭生活,2024,2024-06-09,day,个人相册,0.7056,1,人物、孩子、材质,02_家庭生活/2024/2024-06-09_C00E2D62_IMG_9444.jpg,_heic_jpg/C00E2D62_IMG_9444.jpg
KU2242,家庭生活,2024,2024-06-09,day,个人相册,0.6506,2,人物、孩子、材质,02_家庭生活/2024/2024-06-09_CBFEE3AC_IMG_9457.jpg,CBFEE3AC_IMG_9457.jpg
KU1598,家庭生活,2024,2024-06-09,day,个人相册,0.7163,1,人物、孩子、建筑,02_家庭生活/2024/2024-06-09_E1C7C32C_IMG_9438.jpg,_heic_jpg/E1C7C32C_IMG_9438.jpg
KU2043,家庭生活,2024,2024-06-09,day,个人相册,0.6777,1,人物、孩子、大人,02_家庭生活/2024/2024-06-09_E84B08DD_IMG_9449.jpg,_heic_jpg/E84B08DD_IMG_9449.jpg
KU2045,家庭生活,2024,2024-06-09,day,个人相册,0.6775,1,人物、孩子、建筑,02_家庭生活/2024/2024-06-09_EA0B1F32_IMG_9437.jpg,_heic_jpg/EA0B1F32_IMG_9437.jpg
KU1798,家庭生活,2024,2024-06-09,day,个人相册,0.6988,1,人物、孩子、大人,02_家庭生活/2024/2024-06-09_F31CE236_IMG_9443.jpg,_heic_jpg/F31CE236_IMG_9443.jpg
KU1565,家庭生活,2024,2024-06-09,day,个人相册,0.7194,1,人物、孩子、材质,02_家庭生活/2024/2024-06-09_F367CF50_IMG_9442.jpg,F367CF50_IMG_9442.jpg
KU0816,家庭生活,2024,2024-07-07,day,个人相册,0.773,3,人物、大人、eyeglasses,02_家庭生活/2024/2024-07-07_0917573D_IMG_9641.jpg,0917573D_IMG_9641.jpg
KU0951,家庭生活,2024,2024-07-07,day,个人相册,0.7628,2,人物、eyeglasses、optical_equipment,02_家庭生活/2024/2024-07-07_106DBDE3_IMG_9638.jpg,106DBDE3_IMG_9638.jpg
KU1748,家庭生活,2024,2024-07-07,day,个人相册,0.7043,2,人物、大人、optical_equipment,02_家庭生活/2024/2024-07-07_2C91464E_IMG_9642.jpg,_heic_jpg/2C91464E_IMG_9642.jpg
